window_id	cluster_rep	organism	phylum
bsubtilis_168_prom_pos_15	bsubtilis_168_prom_pos_15	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_150	bsubtilis_168_prom_pos_150	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_151	bsubtilis_168_prom_pos_152	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_152	bsubtilis_168_prom_pos_152	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_153	bsubtilis_168_prom_pos_154	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_154	bsubtilis_168_prom_pos_154	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_155	bsubtilis_168_prom_pos_155	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_156	bsubtilis_168_prom_pos_156	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_157	bsubtilis_168_prom_pos_157	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_158	bsubtilis_168_prom_pos_158	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_159	bsubtilis_168_prom_pos_159	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_16	bsubtilis_168_prom_pos_16	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_160	bsubtilis_168_prom_pos_160	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_161	bsubtilis_168_prom_pos_161	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_162	bsubtilis_168_prom_pos_162	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_163	bsubtilis_168_prom_pos_163	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_164	bsubtilis_168_prom_pos_164	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_165	bsubtilis_168_prom_pos_165	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_166	bsubtilis_168_prom_pos_166	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_167	bsubtilis_168_prom_pos_167	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_168	bsubtilis_168_prom_pos_168	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_169	bsubtilis_168_prom_pos_169	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_17	bsubtilis_168_prom_pos_17	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_170	bsubtilis_168_prom_pos_170	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_171	bsubtilis_168_prom_pos_171	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_172	bsubtilis_168_prom_pos_173	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_173	bsubtilis_168_prom_pos_173	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_174	bsubtilis_168_prom_pos_174	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_175	bsubtilis_168_prom_pos_175	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_176	bsubtilis_168_prom_pos_176	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_177	bsubtilis_168_prom_pos_177	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_178	bsubtilis_168_prom_pos_178	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_179	bsubtilis_168_prom_pos_180	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_18	bsubtilis_168_prom_pos_18	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_180	bsubtilis_168_prom_pos_180	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_181	bsubtilis_168_prom_pos_181	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_182	bsubtilis_168_prom_pos_182	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_183	bsubtilis_168_prom_pos_183	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_184	bsubtilis_168_prom_pos_184	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_185	bsubtilis_168_prom_pos_185	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_186	bsubtilis_168_prom_pos_187	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_187	bsubtilis_168_prom_pos_187	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_188	bsubtilis_168_prom_pos_188	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_189	bsubtilis_168_prom_pos_189	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_19	bsubtilis_168_prom_pos_19	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_190	bsubtilis_168_prom_pos_190	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_191	bsubtilis_168_prom_pos_191	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_192	bsubtilis_168_prom_pos_192	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_193	bsubtilis_168_prom_pos_193	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_194	bsubtilis_168_prom_pos_195	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_195	bsubtilis_168_prom_pos_195	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_196	bsubtilis_168_prom_pos_196	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_197	bsubtilis_168_prom_pos_197	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_198	bsubtilis_168_prom_pos_198	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_199	bsubtilis_168_prom_pos_199	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_2	bsubtilis_168_prom_pos_2	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_20	bsubtilis_168_prom_pos_20	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_200	bsubtilis_168_prom_pos_200	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_201	bsubtilis_168_prom_pos_201	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_202	bsubtilis_168_prom_pos_202	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_203	bsubtilis_168_prom_pos_203	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_204	bsubtilis_168_prom_pos_204	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_205	bsubtilis_168_prom_pos_205	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_206	bsubtilis_168_prom_pos_206	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_207	bsubtilis_168_prom_pos_207	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_208	bsubtilis_168_prom_pos_208	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_209	bsubtilis_168_prom_pos_209	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_21	bsubtilis_168_prom_pos_21	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_210	bsubtilis_168_prom_pos_210	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_211	bsubtilis_168_prom_pos_211	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_212	bsubtilis_168_prom_pos_213	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_213	bsubtilis_168_prom_pos_213	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_214	bsubtilis_168_prom_pos_214	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_215	bsubtilis_168_prom_pos_215	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_216	bsubtilis_168_prom_pos_216	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_217	bsubtilis_168_prom_pos_217	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_218	bsubtilis_168_prom_pos_218	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_219	bsubtilis_168_prom_pos_219	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_22	bsubtilis_168_prom_pos_22	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_220	bsubtilis_168_prom_pos_220	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_221	bsubtilis_168_prom_pos_221	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_222	bsubtilis_168_prom_pos_222	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_223	bsubtilis_168_prom_pos_223	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_224	bsubtilis_168_prom_pos_224	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_225	bsubtilis_168_prom_pos_225	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_226	bsubtilis_168_prom_pos_226	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_227	bsubtilis_168_prom_pos_227	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_228	bsubtilis_168_prom_pos_228	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_229	bsubtilis_168_prom_pos_229	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_23	bsubtilis_168_prom_pos_23	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_230	bsubtilis_168_prom_pos_231	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_231	bsubtilis_168_prom_pos_231	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_232	bsubtilis_168_prom_pos_232	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_233	bsubtilis_168_prom_pos_233	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_234	bsubtilis_168_prom_pos_234	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_235	bsubtilis_168_prom_pos_235	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_236	bsubtilis_168_prom_pos_237	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_237	bsubtilis_168_prom_pos_237	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_238	bsubtilis_168_prom_pos_238	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_239	bsubtilis_168_prom_pos_239	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_24	bsubtilis_168_prom_pos_24	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_240	bsubtilis_168_prom_pos_240	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_241	bsubtilis_168_prom_pos_241	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_242	bsubtilis_168_prom_pos_243	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_243	bsubtilis_168_prom_pos_243	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_244	bsubtilis_168_prom_pos_244	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_245	bsubtilis_168_prom_pos_245	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_246	bsubtilis_168_prom_pos_246	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_247	bsubtilis_168_prom_pos_247	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_248	bsubtilis_168_prom_pos_248	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_249	bsubtilis_168_prom_pos_249	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_25	bsubtilis_168_prom_pos_25	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_250	bsubtilis_168_prom_pos_250	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_251	bsubtilis_168_prom_pos_251	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_252	bsubtilis_168_prom_pos_252	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_253	bsubtilis_168_prom_pos_263	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_254	bsubtilis_168_prom_pos_255	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_255	bsubtilis_168_prom_pos_255	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_256	bsubtilis_168_prom_pos_256	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_257	bsubtilis_168_prom_pos_257	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_258	bsubtilis_168_prom_pos_258	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_259	bsubtilis_168_prom_pos_259	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_26	bsubtilis_168_prom_pos_26	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_260	bsubtilis_168_prom_pos_260	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_261	bsubtilis_168_prom_pos_261	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_262	bsubtilis_168_prom_pos_262	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_263	bsubtilis_168_prom_pos_263	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_264	bsubtilis_168_prom_pos_264	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_265	bsubtilis_168_prom_pos_265	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_266	bsubtilis_168_prom_pos_266	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_267	bsubtilis_168_prom_pos_267	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_268	bsubtilis_168_prom_pos_268	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_269	bsubtilis_168_prom_pos_270	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_27	bsubtilis_168_prom_pos_27	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_270	bsubtilis_168_prom_pos_270	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_271	bsubtilis_168_prom_pos_271	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_272	bsubtilis_168_prom_pos_273	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_273	bsubtilis_168_prom_pos_273	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_274	bsubtilis_168_prom_pos_274	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_275	bsubtilis_168_prom_pos_275	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_276	bsubtilis_168_prom_pos_276	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_277	bsubtilis_168_prom_pos_277	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_278	bsubtilis_168_prom_pos_278	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_279	bsubtilis_168_prom_pos_279	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_28	bsubtilis_168_prom_pos_29	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_280	bsubtilis_168_prom_pos_280	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_281	bsubtilis_168_prom_pos_281	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_282	bsubtilis_168_prom_pos_282	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_283	bsubtilis_168_prom_pos_283	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_284	bsubtilis_168_prom_pos_284	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_285	bsubtilis_168_prom_pos_285	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_286	bsubtilis_168_prom_pos_286	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_287	bsubtilis_168_prom_pos_287	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_288	bsubtilis_168_prom_pos_288	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_289	bsubtilis_168_prom_pos_288	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_29	bsubtilis_168_prom_pos_29	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_290	bsubtilis_168_prom_pos_290	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_291	bsubtilis_168_prom_pos_288	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_292	bsubtilis_168_prom_pos_288	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_293	bsubtilis_168_prom_pos_288	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_294	bsubtilis_168_prom_pos_294	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_295	bsubtilis_168_prom_pos_297	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_296	bsubtilis_168_prom_pos_297	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_297	bsubtilis_168_prom_pos_297	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_298	bsubtilis_168_prom_pos_298	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_299	bsubtilis_168_prom_pos_299	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_3	bsubtilis_168_prom_pos_4	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_30	bsubtilis_168_prom_pos_30	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_300	bsubtilis_168_prom_pos_300	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_301	bsubtilis_168_prom_pos_301	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_302	bsubtilis_168_prom_pos_302	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_303	bsubtilis_168_prom_pos_303	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_304	bsubtilis_168_prom_pos_304	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_305	bsubtilis_168_prom_pos_305	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_306	bsubtilis_168_prom_pos_306	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_307	bsubtilis_168_prom_pos_307	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_308	bsubtilis_168_prom_pos_308	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_309	bsubtilis_168_prom_pos_309	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_31	bsubtilis_168_prom_pos_31	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_310	bsubtilis_168_prom_pos_310	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_311	bsubtilis_168_prom_pos_311	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_312	bsubtilis_168_prom_pos_312	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_313	bsubtilis_168_prom_pos_313	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_314	bsubtilis_168_prom_pos_314	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_315	bsubtilis_168_prom_pos_315	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_316	bsubtilis_168_prom_pos_316	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_317	bsubtilis_168_prom_pos_317	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_318	bsubtilis_168_prom_pos_318	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_319	bsubtilis_168_prom_pos_319	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_32	bsubtilis_168_prom_pos_32	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_320	bsubtilis_168_prom_pos_320	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_321	bsubtilis_168_prom_pos_321	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_322	bsubtilis_168_prom_pos_322	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_323	bsubtilis_168_prom_pos_323	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_324	bsubtilis_168_prom_pos_325	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_325	bsubtilis_168_prom_pos_325	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_326	bsubtilis_168_prom_pos_326	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_327	bsubtilis_168_prom_pos_327	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_328	bsubtilis_168_prom_pos_328	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_329	bsubtilis_168_prom_pos_329	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_33	bsubtilis_168_prom_pos_33	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_330	bsubtilis_168_prom_pos_330	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_331	bsubtilis_168_prom_pos_331	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_332	bsubtilis_168_prom_pos_332	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_333	bsubtilis_168_prom_pos_333	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_334	bsubtilis_168_prom_pos_334	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_335	bsubtilis_168_prom_pos_335	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_336	bsubtilis_168_prom_pos_336	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_337	bsubtilis_168_prom_pos_337	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_338	bsubtilis_168_prom_pos_338	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_339	bsubtilis_168_prom_pos_339	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_34	bsubtilis_168_prom_pos_34	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_340	bsubtilis_168_prom_pos_340	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_341	bsubtilis_168_prom_pos_341	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_342	bsubtilis_168_prom_pos_342	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_343	bsubtilis_168_prom_pos_343	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_344	bsubtilis_168_prom_pos_344	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_345	bsubtilis_168_prom_pos_345	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_346	bsubtilis_168_prom_pos_346	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_347	bsubtilis_168_prom_pos_347	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_348	bsubtilis_168_prom_pos_348	bsubtilis_168	Firmicutes
bsubtilis_168_prom_pos_349	bsubtilis_168_prom_pos_349	bsubtilis_168	Firmicutes
