window_id	cluster_rep	organism	phylum	label
ecoli_K12_MG1655_rho_positive_rho_t1_127	ecoli_K12_MG1655_rho_positive_rho_t1_127	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_128	ecoli_K12_MG1655_rho_positive_rho_t1_128	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_129	ecoli_K12_MG1655_rho_positive_rho_t1_129	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_13	ecoli_K12_MG1655_rho_positive_rho_t1_13	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_130	ecoli_K12_MG1655_rho_positive_rho_t1_130	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_131	ecoli_K12_MG1655_rho_positive_rho_t1_131	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_132	ecoli_K12_MG1655_rho_positive_rho_t1_132	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_133	ecoli_K12_MG1655_rho_positive_rho_t1_133	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_134	ecoli_K12_MG1655_rho_positive_rho_t1_134	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_135	ecoli_K12_MG1655_rho_positive_rho_t1_135	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_136	ecoli_K12_MG1655_rho_positive_rho_t1_136	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_137	ecoli_K12_MG1655_rho_positive_rho_t1_137	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_138	ecoli_K12_MG1655_rho_positive_rho_t1_138	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_139	ecoli_K12_MG1655_rho_positive_rho_t1_139	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_14	ecoli_K12_MG1655_rho_positive_rho_t1_14	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_140	ecoli_K12_MG1655_rho_positive_rho_t1_140	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_141	ecoli_K12_MG1655_rho_positive_rho_t1_141	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_142	ecoli_K12_MG1655_rho_positive_rho_t1_142	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_143	ecoli_K12_MG1655_rho_positive_rho_t1_143	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_144	ecoli_K12_MG1655_rho_positive_rho_t1_144	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_145	ecoli_K12_MG1655_rho_positive_rho_t1_145	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_146	ecoli_K12_MG1655_rho_positive_rho_t1_146	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_147	ecoli_K12_MG1655_rho_positive_rho_t1_147	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_148	ecoli_K12_MG1655_rho_positive_rho_t1_148	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_149	ecoli_K12_MG1655_rho_positive_rho_t1_149	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_15	ecoli_K12_MG1655_rho_positive_rho_t1_15	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_150	ecoli_K12_MG1655_rho_positive_rho_t1_150	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_16	ecoli_K12_MG1655_rho_positive_rho_t1_16	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_17	ecoli_K12_MG1655_rho_positive_rho_t1_17	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_18	ecoli_K12_MG1655_rho_positive_rho_t1_18	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_19	ecoli_K12_MG1655_rho_positive_rho_t1_19	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_2	ecoli_K12_MG1655_rho_positive_rho_t1_2	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_20	ecoli_K12_MG1655_rho_positive_rho_t1_20	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_21	ecoli_K12_MG1655_rho_positive_rho_t1_21	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_22	ecoli_K12_MG1655_rho_positive_rho_t1_22	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_23	ecoli_K12_MG1655_rho_positive_rho_t1_23	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_24	ecoli_K12_MG1655_rho_positive_rho_t1_24	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_25	ecoli_K12_MG1655_rho_positive_rho_t1_25	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_26	ecoli_K12_MG1655_rho_positive_rho_t1_26	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_27	ecoli_K12_MG1655_rho_positive_rho_t1_27	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_28	ecoli_K12_MG1655_rho_positive_rho_t1_28	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_29	ecoli_K12_MG1655_rho_positive_rho_t1_29	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_3	ecoli_K12_MG1655_rho_positive_rho_t1_3	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_30	ecoli_K12_MG1655_rho_positive_rho_t1_30	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_31	ecoli_K12_MG1655_rho_positive_rho_t1_31	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_32	ecoli_K12_MG1655_rho_positive_rho_t1_32	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_33	ecoli_K12_MG1655_rho_positive_rho_t1_33	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_34	ecoli_K12_MG1655_rho_positive_rho_t1_34	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_35	ecoli_K12_MG1655_rho_positive_rho_t1_35	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_36	ecoli_K12_MG1655_rho_positive_rho_t1_36	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_37	ecoli_K12_MG1655_rho_positive_rho_t1_37	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_38	ecoli_K12_MG1655_rho_positive_rho_t1_38	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_39	ecoli_K12_MG1655_rho_positive_rho_t1_39	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_4	ecoli_K12_MG1655_rho_positive_rho_t1_4	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_40	ecoli_K12_MG1655_rho_positive_rho_t1_40	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_41	ecoli_K12_MG1655_rho_positive_rho_t1_41	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_42	ecoli_K12_MG1655_rho_positive_rho_t1_42	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_43	ecoli_K12_MG1655_rho_positive_rho_t1_43	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_44	ecoli_K12_MG1655_rho_positive_rho_t1_44	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_45	ecoli_K12_MG1655_rho_positive_rho_t1_45	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_46	ecoli_K12_MG1655_rho_positive_rho_t1_46	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_47	ecoli_K12_MG1655_rho_positive_rho_t1_47	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_48	ecoli_K12_MG1655_rho_positive_rho_t1_48	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_49	ecoli_K12_MG1655_rho_positive_rho_t1_49	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_5	ecoli_K12_MG1655_rho_positive_rho_t1_5	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_50	ecoli_K12_MG1655_rho_positive_rho_t1_50	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_51	ecoli_K12_MG1655_rho_positive_rho_t1_51	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_52	ecoli_K12_MG1655_rho_positive_rho_t1_52	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_53	ecoli_K12_MG1655_rho_positive_rho_t1_53	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_54	ecoli_K12_MG1655_rho_positive_rho_t1_54	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_55	ecoli_K12_MG1655_rho_positive_rho_t1_55	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_56	ecoli_K12_MG1655_rho_positive_rho_t1_56	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_57	ecoli_K12_MG1655_rho_positive_rho_t1_57	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_58	ecoli_K12_MG1655_rho_positive_rho_t1_58	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_59	ecoli_K12_MG1655_rho_positive_rho_t1_59	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_6	ecoli_K12_MG1655_rho_positive_rho_t1_6	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_60	ecoli_K12_MG1655_rho_positive_rho_t1_60	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_61	ecoli_K12_MG1655_rho_positive_rho_t1_61	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_62	ecoli_K12_MG1655_rho_positive_rho_t1_62	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_63	ecoli_K12_MG1655_rho_positive_rho_t1_63	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_64	ecoli_K12_MG1655_rho_positive_rho_t1_64	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_65	ecoli_K12_MG1655_rho_positive_rho_t1_65	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_66	ecoli_K12_MG1655_rho_positive_rho_t1_66	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_67	ecoli_K12_MG1655_rho_positive_rho_t1_67	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_68	ecoli_K12_MG1655_rho_positive_rho_t1_68	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_69	ecoli_K12_MG1655_rho_positive_rho_t1_69	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_7	ecoli_K12_MG1655_rho_positive_rho_t1_7	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_70	ecoli_K12_MG1655_rho_positive_rho_t1_70	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_71	ecoli_K12_MG1655_rho_positive_rho_t1_71	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_72	ecoli_K12_MG1655_rho_positive_rho_t1_72	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_73	ecoli_K12_MG1655_rho_positive_rho_t1_73	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_74	ecoli_K12_MG1655_rho_positive_rho_t1_74	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_75	ecoli_K12_MG1655_rho_positive_rho_t1_75	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_76	ecoli_K12_MG1655_rho_positive_rho_t1_76	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_77	ecoli_K12_MG1655_rho_positive_rho_t1_77	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_78	ecoli_K12_MG1655_rho_positive_rho_t1_78	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_79	ecoli_K12_MG1655_rho_positive_rho_t1_79	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_8	ecoli_K12_MG1655_rho_positive_rho_t1_8	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_80	ecoli_K12_MG1655_rho_positive_rho_t1_80	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_81	ecoli_K12_MG1655_rho_positive_rho_t1_81	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_82	ecoli_K12_MG1655_rho_positive_rho_t1_82	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_83	ecoli_K12_MG1655_rho_positive_rho_t1_83	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_84	ecoli_K12_MG1655_rho_positive_rho_t1_84	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_85	ecoli_K12_MG1655_rho_positive_rho_t1_85	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_86	ecoli_K12_MG1655_rho_positive_rho_t1_86	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_87	ecoli_K12_MG1655_rho_positive_rho_t1_87	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_88	ecoli_K12_MG1655_rho_positive_rho_t1_88	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_89	ecoli_K12_MG1655_rho_positive_rho_t1_89	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_9	ecoli_K12_MG1655_rho_positive_rho_t1_9	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_90	ecoli_K12_MG1655_rho_positive_rho_t1_90	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_91	ecoli_K12_MG1655_rho_positive_rho_t1_91	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_92	ecoli_K12_MG1655_rho_positive_rho_t1_92	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_93	ecoli_K12_MG1655_rho_positive_rho_t1_93	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_94	ecoli_K12_MG1655_rho_positive_rho_t1_94	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_95	ecoli_K12_MG1655_rho_positive_rho_t1_95	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_96	ecoli_K12_MG1655_rho_positive_rho_t1_96	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_97	ecoli_K12_MG1655_rho_positive_rho_t1_97	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_98	ecoli_K12_MG1655_rho_positive_rho_t1_98	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
ecoli_K12_MG1655_rho_positive_rho_t1_99	ecoli_K12_MG1655_rho_positive_rho_t1_99	ecoli_K12_MG1655	Gammaproteobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_0	mtuberculosis_H37Rv_rho_positive_rho_t1_0	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_1	mtuberculosis_H37Rv_rho_positive_rho_t1_1	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_10	mtuberculosis_H37Rv_rho_positive_rho_t1_10	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_100	mtuberculosis_H37Rv_rho_positive_rho_t1_100	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_101	mtuberculosis_H37Rv_rho_positive_rho_t1_101	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_102	mtuberculosis_H37Rv_rho_positive_rho_t1_102	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_103	mtuberculosis_H37Rv_rho_positive_rho_t1_103	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_104	mtuberculosis_H37Rv_rho_positive_rho_t1_104	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
mtuberculosis_H37Rv_rho_positive_rho_t1_105	mtuberculosis_H37Rv_rho_positive_rho_t1_105	mtuberculosis_H37Rv	Actinobacteria	positive_rho_t1
